,StoreID,StoreName,Location,SquareFootage,OpeningDate,AverageCustomerFootfall,StoreType
0,1,Nguyen-Crawford Store,New Robert,39003,2018-03-27,3931,Supercenter
1,2,"Parker, Fisher and Moore Store",South Martinchester,39962,2022-11-20,4168,Sam’s Club
2,3,"Gentry, Hill and Johnson Store",Colorado,41236,2001-12-23,1108,Sam’s Club
3,4,Holmes Group Store,Leslieland,43921,2013-12-21,1448,Neighborhood Market
4,5,"Clark, Flores and Murray Store",Davidville,42928,2017-08-31,383,Sam’s Club
5,6,"Gill, James and Lopez Store",Barajasbury,22438,2000-01-25,3639,Sam’s Club
6,7,"Smith, Le and Griffin Store",Washington,21389,2000-04-28,3699,Sam’s Club
7,8,Beltran-Scott Store,West Katherineberg,10269,2011-01-16,1254,Supercenter
8,9,Gould and Sons Store,New Hampshire,8710,2013-07-01,4628,Neighborhood Market
9,10,"Willis, Murphy and Kirk Store",Maine,12865,2001-02-05,3332,Neighborhood Market
10,11,Matthews-Pierce Store,Arizona,31795,2019-08-02,1269,Sam’s Club
11,12,Shah-Moore Store,Port Kimberly,29344,2016-04-30,2440,Sam’s Club
12,13,Thompson Group Store,Michigan,45318,2008-07-16,1868,Sam’s Club
13,14,Hoffman PLC Store,Michigan,41334,2014-09-22,4406,Neighborhood Market
14,15,"Bates, Robinson and Higgins Store",Nebraska,10284,2024-06-15,1474,Neighborhood Market
15,16,Lopez Ltd Store,Maddentown,24851,2020-06-05,2358,Sam’s Club
16,17,"Wilson, Smith and Snow Store",Lake Denisemouth,46166,2019-02-19,589,Sam’s Club
17,18,Gilbert-Randall Store,Nebraska,19400,2005-11-26,3145,Supercenter
18,19,Hughes-Davis Store,Mississippi,11987,2021-05-16,758,Sam’s Club
19,20,Vincent-Cunningham Store,Lesliechester,37993,2024-02-05,4727,Sam’s Club
